"company","type","n","totalAirline","flightType"
"AZU","C",25339,2695762,"C"
"AZU","E",4502,2695762,"D"
"AZU","G",1919,2695762,"C"
"AZU","I",101,2695762,"I"
"AZU","L",700,2695762,"C"
"AZU","N",2392323,2695762,"D"
"AZU","R",270878,2695762,"D"
"BLC","E",8104,45765,"D"
"BLC","N",33859,45765,"D"
"BLC","N/I",2505,45765,"I"
"BLC","R",1297,45765,"D"
"BRB","E",1876,19441,"D"
"BRB","I",348,19441,"I"
"BRB","N",17217,19441,"D"
"GLO","C",31930,4313407,"C"
"GLO","E",364065,4313407,"D"
"GLO","G",2814,4313407,"C"
"GLO","H",3874,4313407,"D"
"GLO","I",46917,4313407,"I"
"GLO","L",8148,4313407,"C"
"GLO","N",3654850,4313407,"D"
"GLO","R",200809,4313407,"D"
"LTG","C",6272,15500,"C"
"LTG","G",8940,15500,"C"
"LTG","I",2,15500,"I"
"LTG","L",191,15500,"C"
"LTG","N",95,15500,"D"
"NES","E",7644,69232,"D"
"NES","N",26040,69232,"D"
"NES","R",35548,69232,"D"
"NHG","N",2751,18803,"D"
"NHG","R",16052,18803,"D"
"ONE","C",1940,641975,"C"
"ONE","E",51746,641975,"D"
"ONE","G",524,641975,"C"
"ONE","I",94,641975,"I"
"ONE","N",575730,641975,"D"
"ONE","R",11941,641975,"D"
"PAM","G",2,16848,"C"
"PAM","I",104,16848,"I"
"PAM","N",9892,16848,"D"
"PAM","R",6850,16848,"D"
"PTB","C",105,219069,"C"
"PTB","G",72,219069,"C"
"PTB","I",2,219069,"I"
"PTB","N",48037,219069,"D"
"PTB","R",170853,219069,"D"
"PTN","E",4531,45603,"D"
"PTN","N",16742,45603,"D"
"PTN","R",24330,45603,"D"
"RIO","C",4519,20720,"C"
"RIO","L",16062,20720,"C"
"RIO","N",139,20720,"D"
"RLE","N",9621,22031,"D"
"RLE","R",12410,22031,"D"
"RSL","E",60993,168453,"D"
"RSL","N",63315,168453,"D"
"RSL","N/I",1191,168453,"I"
"RSL","R",42954,168453,"D"
"SID","C",26447,27519,"C"
"SID","I",39,27519,"I"
"SID","N",1033,27519,"D"
"SLX","R",29304,29304,"D"
"TAM","C",72,4365508,"C"
"TAM","E",610317,4365508,"D"
"TAM","G",1063,4365508,"C"
"TAM","I",49688,4365508,"I"
"TAM","L",1430,4365508,"C"
"TAM","N",3313244,4365508,"D"
"TAM","N/I",1915,4365508,"I"
"TAM","R",387779,4365508,"D"
"TBA","E",12600,50656,"D"
"TBA","I",505,50656,"I"
"TBA","N",33923,50656,"D"
"TBA","N/I",3628,50656,"I"
"TIB","C",18,396675,"C"
"TIB","E",2136,396675,"D"
"TIB","L",3391,396675,"C"
"TIB","N",58674,396675,"D"
"TIB","R",332456,396675,"D"
"TTL","C",11596,56884,"C"
"TTL","E",231,56884,"D"
"TTL","G",53,56884,"C"
"TTL","L",35904,56884,"C"
"TTL","N",1505,56884,"D"
"TTL","R",7595,56884,"D"
"TUS","C",16583,49071,"C"
"TUS","G",28006,49071,"C"
"TUS","I",1431,49071,"I"
"TUS","L",3051,49071,"C"
"VLO","C",18939,23904,"C"
"VLO","G",4964,23904,"C"
"VLO","N",1,23904,"D"
"VRG","E",141166,582134,"D"
"VRG","G",1902,582134,"C"
"VRG","I",47814,582134,"I"
"VRG","L",520,582134,"C"
"VRG","N",382180,582134,"D"
"VRG","N/I",5590,582134,"I"
"VRG","R",2962,582134,"D"
"VRN","E",41768,115951,"D"
"VRN","I",11434,115951,"I"
"VRN","N",61934,115951,"D"
"VRN","R",815,115951,"D"
"VSP","C",16643,263017,"C"
"VSP","E",72212,263017,"D"
"VSP","I",582,263017,"I"
"VSP","L",953,263017,"C"
"VSP","N",170486,263017,"D"
"VSP","N/I",2141,263017,"I"
"WEB","E",971,196643,"D"
"WEB","N",195672,196643,"D"
