"depart","type","n","totalAirline","flightType"
"SBAR","C",238,89221,"C"
"SBAR","E",2106,89221,"D"
"SBAR","G",34,89221,"C"
"SBAR","I",21,89221,"I"
"SBAR","N",75406,89221,"D"
"SBAR","R",11416,89221,"D"
"SBBE","C",4633,321704,"C"
"SBBE","E",20722,321704,"D"
"SBBE","G",802,321704,"C"
"SBBE","I",5215,321704,"I"
"SBBE","L",2283,321704,"C"
"SBBE","N",245698,321704,"D"
"SBBE","R",42351,321704,"D"
"SBBH","C",70,82248,"C"
"SBBH","E",30629,82248,"D"
"SBBH","G",54,82248,"C"
"SBBH","I",7,82248,"I"
"SBBH","L",801,82248,"C"
"SBBH","N",8427,82248,"D"
"SBBH","R",42260,82248,"D"
"SBBR","C",9122,1278402,"C"
"SBBR","E",199338,1278402,"D"
"SBBR","G",1419,1278402,"C"
"SBBR","H",726,1278402,"D"
"SBBR","I",6639,1278402,"I"
"SBBR","L",7455,1278402,"C"
"SBBR","N",987009,1278402,"D"
"SBBR","R",66694,1278402,"D"
"SBCF","C",4993,737224,"C"
"SBCF","E",10254,737224,"D"
"SBCF","G",5786,737224,"C"
"SBCF","I",11373,737224,"I"
"SBCF","L",2444,737224,"C"
"SBCF","N",628587,737224,"D"
"SBCF","R",73787,737224,"D"
"SBCG","C",1192,149586,"C"
"SBCG","E",1398,149586,"D"
"SBCG","G",45,149586,"C"
"SBCG","I",1522,149586,"I"
"SBCG","L",2399,149586,"C"
"SBCG","N",122974,149586,"D"
"SBCG","R",20056,149586,"D"
"SBCT","C",4104,681652,"C"
"SBCT","E",26895,681652,"D"
"SBCT","G",13716,681652,"C"
"SBCT","I",8666,681652,"I"
"SBCT","L",7656,681652,"C"
"SBCT","N",553293,681652,"D"
"SBCT","R",67322,681652,"D"
"SBCY","C",783,217301,"C"
"SBCY","E",1801,217301,"D"
"SBCY","G",100,217301,"C"
"SBCY","I",20,217301,"I"
"SBCY","L",3703,217301,"C"
"SBCY","N",173456,217301,"D"
"SBCY","R",37438,217301,"D"
"SBEG","C",22653,267188,"C"
"SBEG","E",4546,267188,"D"
"SBEG","G",20910,267188,"C"
"SBEG","I",4892,267188,"I"
"SBEG","L",3766,267188,"C"
"SBEG","N",183340,267188,"D"
"SBEG","R",27081,267188,"D"
"SBFI","C",736,118365,"C"
"SBFI","E",196,118365,"D"
"SBFI","G",37,118365,"C"
"SBFI","I",1697,118365,"I"
"SBFI","N",104121,118365,"D"
"SBFI","R",11578,118365,"D"
"SBFL","C",3639,287556,"C"
"SBFL","E",2171,287556,"D"
"SBFL","G",219,287556,"C"
"SBFL","I",5192,287556,"I"
"SBFL","L",4380,287556,"C"
"SBFL","N",234212,287556,"D"
"SBFL","R",37743,287556,"D"
"SBFZ","C",6475,418505,"C"
"SBFZ","E",11462,418505,"D"
"SBFZ","G",512,418505,"C"
"SBFZ","I",5107,418505,"I"
"SBFZ","L",2063,418505,"C"
"SBFZ","N",378540,418505,"D"
"SBFZ","R",14346,418505,"D"
"SBGL","C",15536,868011,"C"
"SBGL","E",5432,868011,"D"
"SBGL","G",8933,868011,"C"
"SBGL","H",1182,868011,"D"
"SBGL","I",53266,868011,"I"
"SBGL","L",9223,868011,"C"
"SBGL","N",732046,868011,"D"
"SBGL","R",42393,868011,"D"
"SBGO","C",4214,234083,"C"
"SBGO","E",653,234083,"D"
"SBGO","G",94,234083,"C"
"SBGO","I",5,234083,"I"
"SBGO","L",2739,234083,"C"
"SBGO","N",191597,234083,"D"
"SBGO","R",34781,234083,"D"
"SBGR","C",37477,1424397,"C"
"SBGR","E",2920,1424397,"D"
"SBGR","G",4923,1424397,"C"
