"depart","vars","n","mean_delay","sd_delay","median_delay","trimmed_mean_delay","mad_delay","min_delay","max_delay","range_delay","skew_delay","kurtosis_delay","se_delay","origin_icao","variable","rate","punc"
"SBAR",6,84050,5.50080904223676,21.7348301519704,0,0.699360499702558,0,0,1417,1417,12.4242977893377,392.230270147213,0.0749699794555908,"SBAR","departure_delay",5.50080904223676,0.893622843545509
"SBAT",3,4109,5.42589437819421,21.272886666303,0,0.496503496503497,0,0,365,365,7.41961577874808,77.3478597752725,0.331862633882867,"SBAT","departure_delay",5.42589437819421,0.896325139936724
"SBAU",3,1927,7.73949143746757,28.8405868885791,0,1.6202203499676,0,0,520,520,9.01913473181079,116.648869944705,0.656996773028956,"SBAU","departure_delay",7.73949143746757,0.854696419304619
"SBAX",3,1075,7.37581395348837,21.8165743282852,0,1.57839721254355,0,0,186,186,4.22819476135563,21.3413887269815,0.6653992789237,"SBAX","departure_delay",7.37581395348837,0.853953488372093
"SBBE",8,291921,10.4102479780489,39.375706055872,0,2.9505945524692,0,0,1440,1440,16.5120539183006,476.076640403861,0.0728778723900395,"SBBE","departure_delay",10.4102479780489,0.819738901963202
"SBBH",7,67660,8.21782441619864,25.0964611223343,0,1.75500665090157,0,0,655,655,5.386008877862,48.0331174115904,0.0964820424927424,"SBBH","departure_delay",8.21782441619864,0.847369198935856
"SBBR",9,1184262,9.79400588721075,29.3058522128651,0,3.72751607012805,0,0,1440,1440,15.2170899826128,550.822764951116,0.0269296344438835,"SBBR","departure_delay",9.79400588721075,0.798563155788162
"SBBU",1,2912,4.77884615384615,26.9291446384673,0,0,0,0,745,745,12.588084858969,244.989496188889,0.499030251538295,"SBBU","departure_delay",4.77884615384615,0.928228021978022
"SBBV",7,26028,13.0049177808514,39.0648679688273,0,4.15943142527853,0,0,951,951,6.97561019522553,80.7348358374198,0.242139678694087,"SBBV","departure_delay",13.0049177808514,0.792339019517443
"SBBW",2,1146,10.4424083769634,35.0216489372215,0,2.33769063180828,0,0,384,384,6.01240631463368,44.3597359328076,1.03453284020071,"SBBW","departure_delay",10.4424083769634,0.851657940663176
