"company","vars","n","sd","min","max","range","se","variable","rate","punc"
"AAL",2,8172,146.406624465846,0,1435,1435,1.61955816051075,"delay_depart",23.1335046500245,0.908590308370044
"ABZ",3,3849,18.1987692191459,0,485,485,0.293337821370753,"delay_depart",1.4570018186542,0.988308651597818
"ACN",2,4334,55.0089673169395,0,1180,1180,0.835581928106266,"delay_depart",31.2085832948777,0.551222888786341
"AMG",1,4138,41.6113398609092,0,804,804,0.646869175762002,"delay_depart",15.5623489608507,0.760995650072499
"AVA",2,1103,33.9223019297687,0,1118,1118,1.02140401130967,"delay_depart",1.18495013599275,0.99728014505893
"AZU",7,1396742,37.2135230177506,0,11519,11519,0.0314878269882196,"delay_depart",10.5449173863176,0.802949291995229
"BAW",2,1367,43.9564848270226,0,971,971,1.18888185170521,"delay_depart",8.06217995610827,0.923189465983906
"BLC",4,42122,17.0986432683621,0,513,513,0.0833119231564099,"delay_depart",5.85482645648355,0.849698494848298
"BRB",3,14313,33.4167931023981,0,843,843,0.279318328285002,"delay_depart",7.34171731991895,0.909383078320408
"CLX",4,2891,271.772644672096,0,1477,1477,5.05454066346265,"delay_depart",169.29263230716,0.374956762365963
"COA",1,3139,57.4096117395442,0,1433,1433,1.02468163341202,"delay_depart",4.15068493150685,0.977062758840395
"FDX",2,1078,83.3335087861609,0,1240,1240,2.53810910994801,"delay_depart",15.5556586270872,0.929499072356215
"GEC",3,1828,150.097646110692,0,1448,1448,3.51063586913727,"delay_depart",47.0650984682713,0.766411378555799
"GLO",9,3392069,32.2555166587432,0,5787,5787,0.0175134482624636,"delay_depart",11.023621276572,0.781986746142251
"IPM",1,1153,174.957698643317,0,1447,1447,5.15250478538062,"delay_depart",192.490893321769,0.127493495229835
"ITB",2,8331,22.2251615162935,0,724,724,0.243498538315378,"delay_depart",6.12939623094466,0.881646861121114
"LAN",3,4294,47.9429184110812,0,1045,1045,0.731633271529042,"delay_depart",10.3775034932464,0.897065673032138
"LAP",2,1129,24.7748085719597,0,438,438,0.737332431175454,"delay_depart",7.21169176262179,0.882196634189548
"LTG",5,5908,220.64020086081,0,5756,5756,2.87054527373594,"delay_depart",112.900304671632,0.37186865267434
"LXP",1,4768,40.6478735013014,0,1065,1065,0.588667022426367,"delay_depart",12.4964345637584,0.852768456375839
"MEL",1,2383,127.237458410861,0,758,758,2.60647140200571,"delay_depart",58.8527066722619,0.760805707091901
"MSQ",3,9755,78.1529055227843,0,1375,1375,0.791282373837818,"delay_depart",18.5607380830343,0.837416709379805
"MWM",3,3677,148.540453436331,0,1450,1450,2.44961555080982,"delay_depart",43.5091106880609,0.667663856404678
"NES",3,58682,40.5412108597299,0,921,921,0.167357146458581,"delay_depart",13.8775944923486,0.800927030435227
"NHG",2,14115,32.0102893353351,0,900,900,0.269431989783694,"delay_depart",11.3031526744598,0.813106624158696
"NRA",1,2778,29.589890911063,0,629,629,0.561406250168343,"delay_depart",6.36609071274298,0.907127429805616
"ONE",6,582928,67.02875547888,0,5901,5901,0.0877917482965302,"delay_depart",10.7230858699531,0.817780240441358
"OWT",5,2495,38.6515965212257,0,527,527,0.773806123838803,"delay_depart",14.1755511022044,0.785571142284569
"PAM",4,12340,45.3099744349242,0,1278,1278,0.407883593931926,"delay_depart",15.4679092382496,0.795867098865478
"PEP",4,10657,47.6492048835839,0,1154,1154,0.461570639038027,"delay_depart",22.6893121891714,0.663319883644553
"PLY",2,3448,106.70732619027,0,1435,1435,1.81723297654196,"delay_depart",25.330626450116,0.780162412993039
"PTB",5,167870,95.5483448345177,0,7395,7395,0.233204337065354,"delay_depart",19.2919461488056,0.747852504914517
"PTN",3,33700,30.4124428462248,0,1111,1111,0.16566713255605,"delay_depart",10.3360534124629,0.813738872403561
"RIO",3,14529,117.352427520722,0,5807,5807,0.973585766086575,"delay_depart",26.5168284121412,0.677541468786565
"RLE",2,18881,44.6109293098608,0,872,872,0.324659992434288,"delay_depart",10.249880832583,0.908373497166464
"RSL",4,138606,25.1433515165514,0,628,628,0.0675355050236836,"delay_depart",9.3098350720748,0.812930176182849
"SID",3,17797,120.509201409311,0,1450,1450,0.903330779306631,"delay_depart",22.3915266617969,0.750632129010507
"SKC",1,6414,85.7093824479405,0,1429,1429,1.07019739163568,"delay_depart",20.3027751792953,0.74087932647334
"SLX",1,23389,27.8694549255565,0,752,752,0.182231163426199,"delay_depart",7.72204882637137,0.863354568386849
"TAM",8,3369361,49.1336663282767,0,7263,7263,0.0267673513689508,"delay_depart",10.2584175456414,0.799064273611525
"TBA",4,35984,27.1112633742917,0,690,690,0.142920667857209,"delay_depart",7.91521231658515,0.868580480213428
"TIB",5,330823,2329.86972966398,0,1051104,1051104,4.05073461429625,"delay_depart",15.4119393149811,0.842589541839594
"TIM",1,8185,25.1973226304398,0,328,328,0.278512732966104,"delay_depart",6.66878436163714,0.892486255345144
"TSD",4,9231,60.9497303363313,0,1445,1445,0.6343769769262,"delay_depart",19.2311775538945,0.789080272993175
"TTL",6,40484,103.247413975908,0,5798,5798,0.513141896155608,"delay_depart",19.7985129927873,0.763215097322399
"TUS",4,10474,191.186977916112,0,1450,1450,1.86810818636933,"delay_depart",74.3552606454077,0.574183692953981
"TVJ",1,4119,69.7133975215434,0,950,950,1.0862263975989,"delay_depart",14.7052682689973,0.924010682204419
"UAL",2,5680,66.0309294023265,0,1437,1437,0.876139463074325,"delay_depart",9.87693661971831,0.901760563380282
"VLO",3,5934,157.922001847308,0,1445,1445,2.05007084587691,"delay_depart",43.8921469497809,0.75968992248062
"VRG",7,461082,40.5647734450154,0,1440,1440,0.0597392781578838,"delay_depart",12.5107768249465,0.79899887655558
"VRN",4,74343,35.2308743431658,0,917,917,0.129212158129286,"delay_depart",16.1125728044335,0.718440202843576
"VSP",6,226916,42.6842315430272,0,1350,1350,0.0896055494907823,"delay_depart",13.3570968992931,0.816588517336812
"WEB",2,164750,32.4203155804813,0,1105,1105,0.0798738330740571,"delay_depart",11.3158725341426,0.805517450682853
