"n","delayed_flights","punctual_flights","punctuality_percentage","mean","sd","median","trimmed","mad","min","max","range","skew","kurtosis","se","year","variable"
322062,55869,266193,0.826527190416752,0.826527190416752,0.378656096099994,1,0.908158354356686,0,0,1,1,-1.72465823165379,0.974449041696756,0.000667229455291195,"2000","delay_arrival"
368337,76094,292243,0.793412011283146,0.793412011283146,0.404857798040783,1,0.866763271580848,0,0,1,1,-1.44945319624458,0.100914842099985,0.000667082941994219,"2001","delay_arrival"
290521,59102,231419,0.796565480636512,0.796565480636512,0.402553690188061,1,0.870706531794146,0,0,1,1,-1.47341568123401,0.17095435818245,0.000746852857491765,"2002","delay_arrival"
295094,52654,242440,0.82156872047551,0.82156872047551,0.382876030566619,1,0.901959538453718,0,0,1,1,-1.6797480389848,0.821556258557094,0.000704819626730095,"2003","delay_arrival"
234023,45680,188343,0.804805510569474,0.804805510569474,0.396351197807632,1,0.88100566715985,0,0,1,1,-1.53805115158389,0.365602907195335,0.000819314995911888,"2004","delay_arrival"
327164,81653,245511,0.750421806800259,0.750421806800259,0.432769558936998,1,0.813026301713203,0,0,1,1,-1.15729508324627,-0.660670109651078,0.000756613263363199,"2005","delay_arrival"
363823,109839,253984,0.69809770135478,0.69809770135478,0.459083739643219,1,0.747621616235883,0,0,1,1,-0.863010992371514,-1.25521547709508,0.000761108961343192,"2006","delay_arrival"
410523,170903,239620,0.583694458044982,0.583694458044982,0.492946071705878,1,0.604617881425861,0,0,1,1,-0.339567587515561,-1.88469844446025,0.000769361877893049,"2007","delay_arrival"
411941,120485,291456,0.707518795167269,0.707518795167269,0.454902684095406,1,0.759398336534639,0,0,1,1,-0.912363451191288,-1.16759576728885,0.000708762921912809,"2008","delay_arrival"
637808,124183,513625,0.805297205428593,0.805297205428593,0.39597204723298,1,0.881620310123705,0,0,1,1,-1.54201150760851,0.377800081945816,0.000495814870281577,"2009","delay_arrival"
710374,173081,537293,0.756352287668186,0.756352287668186,0.429282848510437,1,0.820439908499032,0,0,1,1,-1.19432643390355,-0.57358517671437,0.000509330880739834,"2010","delay_arrival"
815749,204006,611743,0.749915721625157,0.749915721625157,0.433061614538419,1,0.812393790386469,0,0,1,1,-1.15417948334222,-0.667870538947989,0.00047948101462076,"2011","delay_arrival"
834044,181867,652177,0.781945556829136,0.781945556829136,0.412924820540323,1,0.852431523478949,0,0,1,1,-1.36560073290736,-0.135134800302163,0.000452143724529457,"2012","delay_arrival"
838151,134789,703362,0.839182915727596,0.839182915727596,0.367362369730215,1,0.923978518197044,0,0,1,1,-1.8465827694694,1.40986960662443,0.000401267082310341,"2013","delay_arrival"
686619,114301,572318,0.833530677129529,0.833530677129529,0.372501663756768,1,0.916911980221993,0,0,1,1,-1.79075812981768,1.20681643713617,0.000449542036164576,"2014","delay_arrival"
806756,104518,702238,0.870446578643357,0.870446578643357,0.335811661728442,1,0.963057362342464,0,0,1,1,-2.20627310889806,2.86764458558895,0.000373873489810413,"2015","delay_arrival"
706643,88524,618119,0.874725993181847,0.874725993181847,0.331029583430148,1,0.968406994330594,0,0,1,1,-2.26399984562422,3.12569972430065,0.000393791898300343,"2016","delay_arrival"
672234,100593,571641,0.850360142450397,0.850360142450397,0.35671832006964,1,0.937949526579247,0,0,1,1,-1.9643489080921,1.85866939764355,0.000435076049967712,"2017","delay_arrival"
745988,115785,630203,0.844789728521102,0.844789728521102,0.362105259383981,1,0.930986005174332,0,0,1,1,-1.90435933968818,1.62658667510913,0.000419245984855605,"2018","delay_arrival"
749456,109646,639810,0.853699216498367,0.853699216498367,0.353407740292558,1,0.942123135734848,0,0,1,1,-2.00164684714772,2.00659277810077,0.000408228185594799,"2019","delay_arrival"
362980,38487,324493,0.893969364703289,0.893969364703289,0.307877249589419,1,0.992461705879112,0,0,1,1,-2.55925554651294,4.54980148695899,0.000511018061289403,"2020","delay_arrival"
480736,49469,431267,0.897097367370033,0.897097367370033,0.303831981288866,1,0.996370160430588,0,0,1,1,-2.61392194242303,4.83259797359219,0.000438207859790468,"2021","delay_arrival"
652410,89835,562575,0.862302846369614,0.862302846369614,0.344582108516578,1,0.952878557962018,0,0,1,1,-2.10285027623356,2.42198299662596,0.000426611363626274,"2022","delay_arrival"
600126,104993,495133,0.825048406501301,0.825048406501301,0.379926011156662,1,0.906309492566163,0,0,1,1,-1.71111140233916,0.927903777404979,0.000490430878794532,"2023","delay_arrival"
