"n","delayed_flights","punctual_flights","punctuality_percentage","mean","sd","median","trimmed","mad","min","max","range","skew","kurtosis","se","year","variable"
322069,48444,273625,0.849585026811025,0.849585026811025,0.35747825921314,1,0.936978230748631,0,0,1,1,-1.95583329820009,1.82528955776385,0.000629905168732945,"2000","delay_depart"
368354,63676,304678,0.827133681187119,0.827133681187119,0.378132176365467,1,0.908915991367024,0,0,1,1,-1.73025631532098,0.993789614650233,0.000623032840424644,"2001","delay_depart"
290527,50062,240465,0.827685550740551,0.827685550740551,0.377654168183105,1,0.90960447115819,0,0,1,1,-1.73536770117768,1.011504539946,0.000700649848761363,"2002","delay_depart"
295105,45171,249934,0.846932447772827,0.846932447772827,0.360053212703225,1,0.933663722811699,0,0,1,1,-1.92711110418577,1.71376301520969,0.000662793753088318,"2003","delay_depart"
234056,38483,195573,0.835582082920327,0.835582082920327,0.370655166696548,1,0.919474915351997,0,0,1,1,-1.81074313434148,1.27879616225291,0.000766143583938968,"2004","delay_depart"
327212,68054,259158,0.79201863012359,0.79201863012359,0.405864045072298,1,0.865022729877373,0,0,1,1,-1.43899289047309,0.0707007549302934,0.000709522166987162,"2005","delay_depart"
363838,102044,261794,0.719534518109708,0.719534518109708,0.449227281022584,1,0.774416639182058,0,0,1,1,-0.977384606850374,-1.04472220166315,0.000744752714297418,"2006","delay_depart"
410652,163230,247422,0.602510154583443,0.602510154583443,0.489379455440552,1,0.62813753721212,0,0,1,1,-0.418938326143516,-1.82449512179305,0.000763675331664912,"2007","delay_depart"
411956,103675,308281,0.7483347736166,0.7483347736166,0.433970387669466,1,0.810417336739834,0,0,1,1,-1.1444751893397,-0.690178216336965,0.000676136964902256,"2008","delay_depart"
637822,99764,538058,0.8435864551552,0.8435864551552,0.363247236338444,1,0.929482732264854,0,0,1,1,-1.89174689906253,1.57870880527586,0.000454833632842517,"2009","delay_depart"
710410,135541,574869,0.809207359130643,0.809207359130643,0.392926235298822,1,0.886509198913304,0,0,1,1,-1.57386754103353,0.477059708252227,0.000466183066349237,"2010","delay_depart"
815795,155275,660520,0.809664192597405,0.809664192597405,0.392566270492815,1,0.887079647644862,0,0,1,1,-1.5776384080215,0.488943545815226,0.000434632764730803,"2011","delay_depart"
833976,149904,684072,0.82025382025382,0.82025382025382,0.383976128687311,1,0.900316555302751,0,0,1,1,-1.66809034374208,0.782526333197845,0.000420462675290197,"2012","delay_depart"
838161,125131,713030,0.850707680266679,0.850707680266679,0.356376590882826,1,0.938384469575515,0,0,1,1,-1.96818349360548,1.87374850005257,0.000389265078670344,"2013","delay_depart"
686652,104819,581833,0.847347710339444,0.847347710339444,0.359652271644989,1,0.93418432176392,0,0,1,1,-1.93157242073712,1.73097453744918,0.000434024717488969,"2014","delay_depart"
806761,92679,714082,0.885122111753047,0.885122111753047,0.318874716895313,1,0.981402490513767,0,0,1,1,-2.41550435942027,3.83466606354539,0.000355015764393656,"2015","delay_depart"
706435,79780,626655,0.887066750656465,0.887066750656465,0.316511409503891,1,0.983832582203985,0,0,1,1,-2.44582780347523,3.98207928112425,0.000376576544447016,"2016","delay_depart"
672237,91943,580294,0.863228295972998,0.863228295972998,0.343606432761586,1,0.954034188002402,0,0,1,1,-2.11420812309,2.46987966186679,0.000419083034208772,"2017","delay_depart"
745984,111459,634525,0.850587948266987,0.850587948266987,0.356494405135898,1,0.938234347875627,0,0,1,1,-1.96686104044872,1.86854485724598,0.000412750836408713,"2018","delay_depart"
749466,107278,642188,0.85686075152175,0.85686075152175,0.350215030622531,1,0.946075046616431,0,0,1,1,-2.03794951195586,2.15324108632015,0.000404537525411253,"2019","delay_depart"
362984,36645,326339,0.899045136975735,0.899045136975735,0.301269362371087,1,0.998805047040511,0,0,1,1,-2.64908475583959,5.01766386701924,0.000500047461832517,"2020","delay_depart"
480733,47893,432840,0.900375052263939,0.900375052263939,0.299499589506761,1,1,0,0,1,1,-2.6736211564125,5.14826079721898,0.000431960727365681,"2021","delay_depart"
652418,83460,568958,0.872075877734826,0.872075877734826,0.334005557142521,1,0.965093421415653,0,0,1,1,-2.22795878377055,2.96380488498796,0.000413514483345896,"2022","delay_depart"
600153,95974,504179,0.840084111884803,0.840084111884803,0.366528335455089,1,0.92510460861071,0,0,1,1,-1.85570125049237,1.44362953652314,0.000473125726691876,"2023","delay_depart"
