"vars","n","mean","sd","median","trimmed","mad","min","max","range","skew","kurtosis","se","lLimit","hLimit","year","variable"
8,322062,9.39888903378853,31.7018054842624,0,2.3270716087716,0,0,1423,1423,10.4714969388615,224.791272961026,0.0558617136311098,9.28940208695686,9.50837598062019,2000,"delay_arrival"
6,368337,11.0032904649818,35.3470492182686,0,3.61178059598671,0,0,1435,1435,13.2736965390493,357.69653574652,0.0582412237023574,10.8891397641096,11.117441165854,2001,"delay_arrival"
6,290521,10.513990382795,30.5878085973188,0,3.52287053012473,0,0,1439,1439,9.55518444129043,225.407438431171,0.0567491810710923,10.4027640317436,10.6252167338465,2002,"delay_arrival"
7,295094,12.1108392579991,42.6054953264654,0,2.5482175231705,0,0,1433,1433,8.34289224186877,128.303287841135,0.0784305804367276,11.9571181450566,12.2645603709417,2003,"delay_arrival"
7,234023,10.8159198027544,36.0447541185133,0,3.09869190627019,0,0,1428,1428,11.4635026884674,261.651315509004,0.0745096967956887,10.6698834805359,10.961956124973,2004,"delay_arrival"
6,327164,13.2264338374638,44.8523713559575,0,5.31850900921554,0,0,1440,1440,16.9685057247072,458.381177123711,0.0784156333559252,13.0727420202613,13.3801256546663,2005,"delay_arrival"
6,363823,19.3255676524024,45.578654799378,0,9.07217780587443,0,0,1435,1435,6.47299964555718,91.5965333813263,0.0755642590189197,19.1774644262069,19.4736708785979,2006,"delay_arrival"
7,410523,30.9293632756265,62.5153063854691,0,18.5823262356928,0,0,1440,1440,7.49658973014416,112.212391250241,0.0975702947613332,30.7381290119333,31.1205975393196,2007,"delay_arrival"
7,411941,14.8998181778459,33.4772737819812,0,7.49984979654261,0,0,1437,1437,6.64166701630307,121.599274734966,0.0521593985108599,14.7975876353093,15.0020487203824,2008,"delay_arrival"
8,637808,9.22293699671375,30.2716407010003,0,2.89361839732836,0,0,1440,1440,14.9163202898693,507.135272010206,0.0379045180392392,9.14864550650549,9.297228486922,2009,"delay_arrival"
8,710374,11.6573734399063,36.1226972329344,0,4.72757874362135,0,0,1440,1440,16.2842388952241,514.987256952726,0.0428584679313167,11.5733723863284,11.7413744934842,2010,"delay_arrival"
8,815749,11.4137743349977,35.2608846952182,0,4.89191098389367,0,0,1440,1440,18.1822632293295,620.983453091753,0.0390404603005722,11.3372564388687,11.4902922311266,2011,"delay_arrival"
8,834044,9.49664885785402,33.5292453430513,0,3.61597695567986,0,0,1440,1440,22.1470393120981,830.163978337487,0.0367137965943337,9.4246911387934,9.56860657691465,2012,"delay_arrival"
8,838151,7.54381847662295,30.2240479908972,0,1.84002290755993,0,0,1440,1440,20.8682223748718,811.37740920908,0.0330134944464279,7.47911321650414,7.60852373674176,2013,"delay_arrival"
7,686619,7.97775622288343,33.2917701843736,0,2.06248350163937,0,0,1440,1440,22.2402103378906,815.769407254596,0.04017713640597,7.89901048252578,8.05650196324109,2014,"delay_arrival"
7,806756,6.31591584072508,32.992694158709,0,0.973272637688526,0,0,1440,1440,25.9197472705513,997.382441792363,0.0367321779114958,6.24392209494483,6.38790958650533,2015,"delay_arrival"
7,706643,5.64567964304465,23.2630862401207,0,0.880680682451375,0,0,1439,1439,17.9712072689812,736.428402485643,0.0276737045550334,5.59144017879798,5.69991910729132,2016,"delay_arrival"
9,672234,6.80637397096844,27.310579834927,0,1.59227427908396,0,0,1439,1439,19.288990302013,725.059854116994,0.0333096971150464,6.74108816428701,6.87165977764987,2017,"delay_arrival"
9,745988,7.88464291650804,30.5667583946691,0,2.52258743414791,0,0,1440,1440,23.278038791257,929.80641486897,0.0353902363882189,7.81527932778277,7.95400650523331,2018,"delay_arrival"
6,749456,7.61519955807946,27.7986753563873,0,2.30043898419856,0,0,1440,1440,18.8064999904935,709.238764852208,0.0321107930270077,7.55226356023151,7.67813555592742,2019,"delay_arrival"
7,362980,5.98367954157254,25.0563524414549,0,1.43612251363711,0,0,1440,1440,18.7232739959395,662.55223790383,0.0415888106857257,5.90216697046866,6.06519211267642,2020,"delay_arrival"
5,480736,6.6102080975837,29.3275295382811,0,1.62831846901896,0,0,1440,1440,17.340047025818,529.730356329658,0.0422982264651508,6.52730509710209,6.69311109806532,2021,"delay_arrival"
5,652410,7.81131343786882,29.879571290388,0,2.72093852025566,0,0,1440,1440,22.1317819940843,850.241347598883,0.0369925319327705,7.73880940758365,7.883817468154,2022,"delay_arrival"
4,600126,10.0037358821314,38.2166149712544,0,4.05705662546707,0,0,1440,1440,22.3820977982646,742.69965656641,0.0493322581621717,9.90704643285753,10.1004253314053,2023,"delay_arrival"
